1 ,06060414770,SAI PUBLIC SCHOOL
2 ,06180100102,JHANKAR SENIOR SECONDARY SCHOOL
3 ,06180100104,K.G. SENIOR SECONDARY SCHOOL
4 ,06180100105,M.D. HIGH SCHOOL
5 ,06180100108,DEV SAMAJ SENIOR SECONDARY SCHOOL
6 ,06180100109,ROTARY PUBLIC SCHOOL
7 ,06180100111,ST. SOLDIERS PUBLIC SCHOOL
8 ,06180100113,B.P.HIGH SCHOOL
9 ,06180100115,SALWAN PUBLIC SCHOOL
10 ,06180100117,M.M. PUBLIC SCHOOL
11 ,06180100118,"GREENWOOD PUBLIC SCHOOL, SEC-9"
12 ,06180100120,VINAYAK PUBLIC SCHOOL
13 ,06180100121,LORD JESUS PUBLIC SCHOOL
14 ,06180100122,AIR FORCE SCHOOL
15 ,06180100123,LAXMI INTERNATIONAL SCHOOL
16 ,06180100124,Sheetla Vidya Niketan Naurangpur Sector-79B
17 ,06180100125,NEW NATIONAL MIDDLE SCHOOL
18 ,06180100126,CD SENIOR SECONDARY SCHOOL
19 ,06180100202,GPS GAROLI KHURD
20 ,06180100203,COLONEL'S PUBLIC SCHOOL
21 ,06180100204,MDS PUBLIC H/S GAROLI KHURD
22 ,06180100205,CHS PUBLIC SCHOOL
23 ,06180100206,HSM MODERN CONVENT SCHOOL
24 ,06180100207,"Sarswati Model School, sarswati enclave, kadipur"
25 ,06180100601,GPS KADIPUR-B
26 ,06180100603,GSSS KADIPUR
27 ,06180100604,"GYAN DEVI Sr. Sec. SCHOOL, SECTOR-10"
28 ,06180100605,LADY FLORENCE CONVENT
29 ,06180100607,SHARDA INTERNATIONAL  SCHOOL
30 ,06180100610,K.S. MODERN SCHOOL
31 ,06180100611,DIVINE DALES M/S GANDHI NAGAR
32 ,06180100612,MEENAKSHI PUBLIC SCHOOL SEC-10
33 ,06180100613,ROCKFORD CONVENT HIGH SCHOOL
34 ,06180100614,EURO INTERNATIONAL SCHOOL
35 ,06180100615,LIONS PUBLIC SCHOOL
36 ,06180100617,BHARDWAJ PUBLIC SCHOOL KISHAN NAGAR
37 ,06180100618,"GPS SHIVJI PARK,"
38 ,06180100619,Gold Field Public School
39 ,06180100620,VAISHALI PUBLIC SCHOOL
40 ,06180100621,SCHOLAR'S CONVENT SCHOOL
41 ,06180100622,THE HOLY KINGDOM PUBLIC SCHOOL
42 ,06180100623,"MANAV BHARTI PUBLIC SCHOOL, SARASWATI ENCLAVE"
43 ,06180100624,KAMAL PUBLIC SCHOOL
44 ,06180100625,S v m public school
45 ,06180100626,Vansh primary school
46 ,06180100627,MEENAKSHI WORLD SCHOOL
